status,health,commonname,latitude,longitude
Alive,Fair,Callery pear,40.78486495,-73.9557564
Alive,Fair,Callery pear,40.83944209,-73.94181449
Alive,Fair,Callery pear,40.77032326,-73.96033003
Alive,Fair,Callery pear,40.74984288,-73.97612022
Alive,Fair,Callery pear,40.77504314,-73.98904965
Alive,Fair,Callery pear,40.77484439,-73.96286141
Alive,Fair,Callery pear,40.74364861,-73.9808817
Alive,Fair,cherry,40.71537863,-73.99642276
Alive,Fair,Sophora,40.76354887,-73.99089842
Alive,Fair,Callery pear,40.77021354,-73.96041072
Alive,Fair,Callery pear,40.74487554,-73.98516089
Alive,Fair,American elm,40.79062943,-73.96901141
Alive,Fair,London planetree,40.73482571,-73.99912487
Alive,Fair,London planetree,40.71194183,-73.99229337
Alive,Fair,Sophora,40.79886091,-73.97201263
Alive,Fair,pin oak,40.77547183,-73.98747692
Alive,Fair,katsura tree,40.72734976,-73.99046234
Alive,Fair,bald cypress,40.8235603,-73.95361054
Alive,Fair,London planetree,40.78416789,-73.9797479
Alive,Fair,London planetree,40.76949379,-73.98468914
Alive,Fair,London planetree,40.80523575,-73.9659669
Alive,Fair,Callery pear,40.74516307,-73.99129258
Alive,Fair,littleleaf linden,40.77994079,-73.98283732
Alive,Fair,littleleaf linden,40.77791816,-73.97854626
Alive,Fair,northern red oak,40.80224582,-73.95301317
Alive,Fair,London planetree,40.71648203,-73.991738
Alive,Fair,London planetree,40.79882018,-73.97191639
Alive,Fair,littleleaf linden,40.77783888,-73.97860389
Alive,Fair,Japanese zelkova,40.74360835,-73.98078643
Alive,Fair,littleleaf linden,40.7471697,-73.97904057
Alive,Fair,littleleaf linden,40.78002538,-73.98303572
Alive,Fair,Chinese elm,40.72755729,-73.99120012
Alive,Fair,Chinese elm,40.72746746,-73.99124991
Alive,Fair,littleleaf linden,40.77797101,-73.97850784
Alive,Fair,Chinese elm,40.862493,-73.92652323
Alive,Fair,Japanese zelkova,40.73565395,-73.97927663
Alive,Fair,Chinese elm,40.72196977,-74.00040007
Alive,Fair,Japanese zelkova,40.86256874,-73.92657188
Alive,Fair,littleleaf linden,40.75165931,-73.97849977
Alive,Fair,littleleaf linden,40.78562674,-73.9723979
Alive,Fair,Japanese zelkova,40.80281343,-73.9530282
Alive,Fair,littleleaf linden,40.79866517,-73.97300303
Alive,Fair,ginkgo,40.79941373,-73.97003344
Alive,Fair,crab apple,40.84005539,-73.94046032
Alive,Fair,littleleaf linden,40.75925869,-73.96206708
Alive,Fair,swamp white oak,40.76405959,-73.99825192
Alive,Fair,Chinese elm,40.81038808,-73.96470124
Alive,Fair,Japanese zelkova,40.78184888,-73.95192189
Alive,Fair,paperbark maple,40.71601942,-73.97617504
Alive,Fair,littleleaf linden,40.79678405,-73.97221629
Alive,Fair,littleleaf linden,40.78415432,-73.95452762
Alive,Fair,cherry,40.72257271,-73.99060928
Alive,Fair,Japanese zelkova,40.79475134,-73.97398423
Alive,Fair,honeylocust,40.77842019,-73.94497229
Alive,Fair,ginkgo,40.755602,-73.98204242
Alive,Fair,littleleaf linden,40.75916673,-73.9621348
Alive,Fair,Japanese zelkova,40.86271256,-73.92666428
Alive,Fair,honeylocust,40.79876173,-73.96334159
Alive,Fair,ginkgo,40.79125067,-73.97764442
Alive,Fair,ginkgo,40.79092168,-73.976862
Alive,Fair,crab apple,40.79002418,-73.9751712
Alive,Fair,honeylocust,40.74541839,-73.98054599
Alive,Fair,crab apple,40.80982869,-73.96260947
Alive,Fair,ginkgo,40.78250798,-73.95855893
Alive,Fair,ginkgo,40.79055734,-73.97573412
Alive,Fair,ginkgo,40.78244361,-73.95777002
Alive,Fair,honeylocust,40.74532453,-73.98061441
Alive,Fair,honeylocust,40.7455413,-73.9804564
Alive,Fair,honeylocust,40.80367298,-73.95338028
Alive,Fair,honeylocust,40.7984363,-73.97270234
Alive,Fair,American linden,40.79056365,-73.97768562
Alive,Fair,honeylocust,40.73765353,-73.98011018
Alive,Fair,Callery pear,40.76942777,-73.98473651
Alive,Fair,honeylocust,40.80400072,-73.95415551
Alive,Fair,honeylocust,40.74549497,-73.98049018
Alive,Fair,Callery pear,40.73619707,-74.0007948
Alive,Fair,ginkgo,40.78186522,-73.95341692
Alive,Fair,ginkgo,40.80303115,-73.96797644
Alive,Fair,Callery pear,40.74494604,-73.98510927
Alive,Fair,Callery pear,40.73905019,-73.98149045
Alive,Fair,Callery pear,40.77170853,-73.95098526
Alive,Fair,red maple,40.7403127,-73.97715975
Alive,Fair,Callery pear,40.80355289,-73.9530962
Alive,Fair,Callery pear,40.78828886,-73.94303724
Alive,Fair,Callery pear,40.7716642,-73.95088013
Alive,Fair,English oak,40.7473275,-73.99685535
Alive,Fair,London planetree,40.78984121,-73.96958467
