status,health,commonname,latitude,longitude
Alive,Poor,London planetree,40.84273172,-73.93662253
Alive,Poor,London planetree,40.7644236,-73.96745591
Alive,Poor,pin oak,40.74463949,-73.97750387
Alive,Poor,green ash,40.74116402,-73.97835556
Alive,Poor,littleleaf linden,40.74850339,-73.97896352
Alive,Poor,London planetree,40.76447518,-73.96757845
Alive,Poor,pin oak,40.72192578,-74.00518594
Alive,Poor,Callery pear,40.76522841,-73.96769002
Alive,Poor,Callery pear,40.77363189,-73.94762617
Alive,Poor,ginkgo,40.72463305,-73.99042304
Alive,Poor,ginkgo,40.76818987,-73.9591715
Alive,Poor,eastern hemlock,40.86481731,-73.92565371
Alive,Poor,eastern hemlock,40.86336582,-73.92628266
Alive,Poor,ginkgo,40.7727394,-73.98202249
Alive,Poor,Callery pear,40.76516945,-73.96727909
Alive,Poor,Callery pear,40.77981437,-73.95439541
Alive,Poor,Callery pear,40.77975733,-73.95426114
Alive,Poor,Callery pear,40.76729502,-73.96222779
Alive,Poor,Callery pear,40.76724693,-73.96226336
Alive,Poor,ginkgo,40.76432644,-73.96722503
Alive,Poor,Callery pear,40.77964699,-73.95400142
Alive,Poor,ginkgo,40.7728109,-73.98202113
Alive,Poor,honeylocust,40.74638247,-73.97397104
Alive,Poor,ginkgo,40.76839488,-73.95965935
Alive,Poor,ginkgo,40.77238593,-73.98201424
Alive,Poor,ginkgo,40.76704735,-73.96477511
Alive,Poor,crab apple,40.8305305,-73.94745035
Alive,Poor,ginkgo,40.76893474,-73.96068105
Alive,Poor,ginkgo,40.76435658,-73.96755956
Alive,Poor,London planetree,40.76438506,-73.96736432
Alive,Poor,crab apple,40.82985445,-73.94790596
Alive,Poor,Callery pear,40.77254918,-73.98116548
Alive,Poor,London planetree,40.7663184,-73.96325221
Alive,Poor,London planetree,40.83798921,-73.9424662
Alive,Poor,Callery pear,40.77971609,-73.95416406
Alive,Poor,mulberry,40.72999239,-74.00699552
Alive,Poor,Callery pear,40.78057769,-73.95666594
Alive,Poor,Callery pear,40.76877209,-73.96029688
Alive,Poor,London planetree,40.76450868,-73.96765805
Alive,Poor,willow oak,40.80173103,-73.96070411
Alive,Poor,willow oak,40.80170032,-73.96063153
Alive,Poor,Japanese zelkova,40.76896626,-73.96075549
Alive,Poor,American linden,40.83861397,-73.94227717
Alive,Poor,London planetree,40.73160024,-73.98340688
Alive,Poor,littleleaf linden,40.78381988,-73.97375204
Alive,Poor,ginkgo,40.80164399,-73.96877358
Alive,Poor,littleleaf linden,40.84192362,-73.93625924
Alive,Poor,ginkgo,40.80173375,-73.96898768
Alive,Poor,honeylocust,40.76449066,-73.96787703
Alive,Poor,American linden,40.78043794,-73.95807745
Alive,Poor,cucumber magnolia,40.8108352,-73.95300074
Alive,Poor,paperbark maple,40.71810015,-73.97664416
Alive,Poor,Japanese zelkova,40.7806116,-73.95627767
Alive,Poor,Callery pear,40.74750549,-73.97629814
Alive,Poor,Callery pear,40.78034629,-73.95683324
Alive,Poor,Callery pear,40.80190359,-73.96939281
Alive,Poor,Callery pear,40.78049975,-73.95672228
Alive,Poor,Callery pear,40.76482672,-73.96815741
Alive,Poor,Japanese zelkova,40.75481171,-73.96824233
Alive,Poor,northern red oak,40.74156531,-73.9752746
Alive,Poor,ginkgo,40.76899804,-73.96083056
Alive,Poor,Callery pear,40.72343973,-74.00499117
Alive,Poor,Callery pear,40.83897299,-73.94149891
Alive,Poor,Callery pear,40.7797884,-73.95433426
Alive,Poor,Callery pear,40.74753851,-73.97637682
Alive,Poor,honeylocust,40.75257695,-73.96882296
Alive,Poor,Callery pear,40.74757206,-73.97645676
Alive,Poor,honeylocust,40.80216795,-73.93806306
Alive,Poor,Callery pear,40.7556785,-73.96642549
Alive,Poor,mulberry,40.75609498,-73.9654678
Alive,Poor,ginkgo,40.75845862,-73.95999598
Alive,Poor,Callery pear,40.74752917,-73.97858633
